id,carat,cut,color,clarity,depth,table,x,y,z,price
46,0.54,Premium,E,VS1,62.7,60.0,5.14,5.1,3.21,7.866
47,0.34,Ideal,G,VS1,60.6,57.0,4.52,4.57,2.75,6.579
48,1.22,Ideal,H,SI1,61.9,55.0,6.82,6.87,4.24,8.971
49,0.7,Very Good,D,VS1,61.2,56.0,5.68,5.75,3.5,8.179
50,1.22,Premium,F,SI1,61.8,59.0,6.86,6.83,4.23,8.837
51,1.61,Premium,D,SI1,59.0,60.0,7.68,7.6,4.51,9.412
52,0.71,Very Good,E,VS2,62.5,58.0,5.69,5.73,3.57,8.115
53,0.32,Very Good,I,SI1,62.4,58.0,4.42,4.46,2.77,5.961
54,0.54,Ideal,E,SI1,61.5,55.0,5.24,5.26,3.23,7.483
55,1.0,Ideal,I,SI2,62.5,56.0,6.38,6.35,3.98,8.094
56,0.3,Premium,G,VS1,61.8,60.0,4.32,4.29,2.66,6.654
57,1.0,Very Good,F,SI2,63.4,55.0,6.3,6.38,4.02,8.302
58,0.38,Ideal,E,IF,62.7,55.0,4.61,4.67,2.91,7.268
59,0.42,Ideal,E,VS2,62.1,56.0,4.8,4.77,2.97,6.931
60,0.74,Ideal,E,SI1,61.7,56.0,5.84,5.8,3.59,7.93
61,0.7,Ideal,F,SI1,61.9,57.0,5.66,5.75,3.53,7.71
62,0.61,Good,D,SI2,59.8,62.0,5.48,5.53,3.29,7.261
63,1.21,Ideal,F,I1,62.0,56.0,6.84,6.8,4.23,8.384
64,1.28,Ideal,G,SI1,62.2,56.0,6.96,6.9,4.31,8.936
65,1.26,Very Good,G,SI1,63.3,58.0,6.88,6.84,4.34,8.976
66,0.4,Premium,D,VS1,62.5,60.0,4.72,4.66,2.93,7.09
67,0.3,Premium,H,VVS1,62.7,59.0,4.29,4.32,2.7,6.528
68,0.3,Ideal,I,VVS1,61.3,57.0,4.34,4.31,2.65,6.564
69,0.81,Ideal,E,SI2,62.1,55.0,5.94,5.98,3.7,8.039
70,0.32,Ideal,E,VS2,62.7,55.0,4.36,4.38,2.74,6.554
71,0.51,Ideal,G,VS1,62.4,57.0,5.1,5.13,3.19,7.432
72,0.76,Ideal,D,VS1,61.7,56.0,5.84,5.87,3.61,8.384
73,0.44,Premium,G,SI1,61.0,60.0,4.93,4.88,2.99,6.898
74,0.72,Ideal,D,VS1,61.4,56.0,5.8,5.82,3.57,8.195
75,1.03,Ideal,D,SI2,62.8,56.0,6.46,6.43,4.05,8.469
76,0.6,Premium,G,SI1,61.8,60.0,5.38,5.37,3.32,7.406
77,0.7,Very Good,G,SI1,63.0,59.0,5.64,5.67,3.56,7.73
78,1.1,Very Good,G,VVS1,61.4,60.0,6.59,6.67,4.07,9.133
79,0.3,Ideal,F,VS1,61.3,55.0,4.36,4.32,2.66,6.594
80,0.78,Good,G,SI1,63.9,64.0,5.82,5.7,3.68,7.777
81,1.13,Premium,G,VVS1,59.3,59.0,6.87,6.79,4.05,9.09
82,0.56,Ideal,D,SI1,62.3,57.0,5.24,5.26,3.27,7.364
83,0.77,Premium,I,VS1,62.6,55.0,5.9,5.85,3.68,7.834
84,0.51,Premium,I,VS2,62.9,55.0,5.12,5.08,3.21,7.072
85,2.09,Good,J,VS2,57.2,64.0,8.51,8.46,4.85,9.357
86,0.36,Ideal,G,VVS1,62.8,57.0,4.55,4.52,2.85,6.959
87,1.26,Ideal,E,VVS2,61.1,57.0,7.0,6.98,4.27,9.568
88,0.33,Premium,H,IF,61.7,59.0,4.45,4.43,2.74,6.918
89,0.51,Very Good,I,SI1,63.5,55.0,5.07,5.11,3.23,6.974
90,0.31,Premium,F,VS2,62.9,59.0,4.32,4.27,2.7,6.687
91,0.71,Very Good,H,SI1,60.7,60.0,5.73,5.76,3.49,7.726
92,0.35,Premium,E,SI1,61.1,59.0,4.56,4.5,2.77,6.669
93,0.31,Ideal,G,VVS1,61.4,57.0,4.37,4.39,2.68,6.649
94,0.3,Premium,I,VS1,61.6,60.0,4.3,4.27,2.64,6.41
95,0.54,Ideal,D,VS2,61.8,56.0,5.25,5.23,3.24,7.621
96,0.38,Ideal,I,VS2,61.4,55.0,4.66,4.69,2.87,6.515
97,1.08,Very Good,F,VVS1,61.0,58.0,6.64,6.61,4.04,9.231
98,1.28,Ideal,H,VVS1,61.7,55.0,6.97,7.01,4.31,9.078
99,1.08,Ideal,G,SI1,61.8,56.0,6.58,6.55,4.06,8.585
100,1.5,Premium,J,VS1,62.8,59.0,7.29,7.19,4.55,9.131
101,0.39,Very Good,D,VVS2,61.4,59.0,4.69,4.73,2.89,6.962
102,1.01,Very Good,H,SI1,62.6,58.0,6.34,6.44,4.0,8.382
103,0.9,Premium,D,SI1,62.2,58.0,6.18,6.11,3.82,8.436
104,1.84,Premium,H,SI1,59.7,58.0,8.01,7.98,4.77,9.54
105,0.79,Premium,J,SI1,59.1,57.0,6.08,6.06,3.59,7.696
106,1.61,Good,E,SI2,60.9,62.0,7.46,7.57,4.58,9.287
107,1.12,Premium,G,IF,60.9,57.0,6.79,6.68,4.1,9.119
108,0.31,Ideal,F,VVS2,61.2,56.0,4.4,4.43,2.7,6.574
109,0.31,Ideal,G,VS1,61.0,56.0,4.35,4.4,2.67,6.465
110,1.22,Premium,I,VS2,62.9,58.0,6.8,6.75,4.26,8.639
111,0.7,Good,F,VS2,62.9,61.0,5.6,5.63,3.53,7.86
112,1.07,Premium,F,SI2,61.8,59.0,6.57,6.53,4.05,8.443
113,0.33,Ideal,G,VS1,61.5,56.0,4.45,4.48,2.74,6.55
114,0.4,Premium,D,VVS2,60.7,60.0,4.78,4.74,2.89,7.188
115,0.5,Good,F,VS2,63.3,57.0,5.01,5.07,3.19,7.27
116,0.5,Good,D,SI2,58.5,64.0,5.2,5.12,3.02,6.865
117,0.56,Ideal,F,SI2,61.4,57.0,5.3,5.33,3.26,7.154
118,0.41,Ideal,D,VS2,59.7,57.0,4.87,4.84,2.9,7.071
119,1.03,Premium,I,SI1,58.4,60.0,6.6,6.58,3.85,8.098
120,0.54,Ideal,E,VS1,62.6,55.0,5.22,5.2,3.26,7.508
121,0.3,Ideal,F,VS2,61.1,56.0,4.33,4.31,2.64,6.654
122,0.9,Premium,G,SI1,62.9,58.0,6.11,6.02,3.82,8.236
123,0.61,Ideal,I,SI2,61.1,57.0,5.46,5.49,3.34,7.245
124,1.26,Very Good,H,SI2,62.2,57.0,6.86,6.9,4.28,8.655
125,1.22,Premium,H,VS1,58.9,59.0,7.02,6.96,4.12,8.893
126,0.4,Premium,E,VS2,59.3,59.0,4.77,4.81,2.84,6.816
127,0.34,Ideal,E,SI2,61.3,55.0,4.49,4.52,2.76,6.118
128,1.0,Premium,H,VS2,60.4,58.0,6.51,6.46,3.92,8.514
129,1.58,Ideal,E,SI1,61.0,57.0,7.55,7.5,4.59,9.515
130,2.01,Ideal,I,SI1,59.9,60.0,8.27,8.2,4.93,9.748
131,0.32,Ideal,D,VS2,61.0,56.0,4.42,4.46,2.71,6.631
132,2.0,Very Good,J,VS2,60.8,62.0,8.09,8.12,4.93,9.476
133,1.27,Ideal,E,VS1,61.8,57.0,6.94,6.98,4.3,9.379
134,1.5,Very Good,F,SI1,63.4,58.0,7.2,7.16,4.55,9.302
135,0.5,Ideal,F,SI2,60.9,57.0,5.16,5.13,3.13,7.093
136,1.51,Ideal,I,SI1,61.1,59.0,7.4,7.37,4.51,9.029
137,0.62,Premium,G,VS2,62.2,55.0,5.51,5.46,3.41,7.508
138,1.68,Premium,J,SI2,59.2,57.0,7.83,7.72,4.6,8.943
139,0.52,Ideal,G,VS1,61.6,54.0,5.21,5.24,3.22,7.451
140,1.01,Very Good,E,SI1,63.4,59.0,6.38,6.34,4.03,8.518
141,1.28,Ideal,G,SI2,61.4,57.0,6.96,6.99,4.28,8.681
142,0.5,Ideal,H,VS2,61.7,55.0,5.11,5.14,3.16,7.394
143,0.66,Very Good,G,VVS2,60.5,59.0,5.67,5.72,3.44,7.701
144,1.01,Very Good,F,VS2,62.7,56.0,6.37,6.43,4.01,8.726
145,0.31,Ideal,G,VS2,62.0,57.0,4.34,4.37,2.7,6.299
146,0.31,Ideal,F,IF,60.2,57.0,4.38,4.44,2.65,7.052
147,0.58,Ideal,F,VVS1,61.6,57.0,5.33,5.38,3.3,7.911
148,0.4,Very Good,F,SI1,63.1,58.0,4.69,4.66,2.95,6.782
149,0.9,Ideal,G,VS1,62.1,56.0,6.15,6.19,3.83,8.62
150,1.5,Premium,F,SI1,62.1,60.0,7.32,7.27,4.53,9.079
151,1.17,Premium,D,VS1,61.7,59.0,6.72,6.77,4.16,9.204
152,1.5,Very Good,D,VS1,61.2,63.0,7.28,7.32,4.47,9.705
153,0.9,Very Good,E,SI1,61.8,60.0,6.14,6.2,3.81,8.307
154,0.72,Good,F,VVS2,61.3,65.0,5.76,5.72,3.52,8.054
155,0.71,Ideal,D,VS2,60.4,57.0,5.77,5.82,3.5,8.05
156,1.56,Ideal,J,VS2,62.4,57.0,7.39,7.46,4.63,8.963
157,0.71,Very Good,G,VS2,63.1,54.0,5.64,5.7,3.58,7.853
158,0.52,Very Good,G,VVS1,61.1,58.0,5.19,5.22,3.18,7.656
159,0.71,Very Good,J,VS1,64.1,58.0,5.61,5.65,3.61,7.597
160,1.11,Ideal,I,SI1,61.9,57.0,6.62,6.67,4.11,8.457
161,1.27,Premium,I,SI1,62.3,56.0,6.93,6.85,4.29,8.646
162,0.24,Very Good,D,SI1,63.1,55.0,3.95,4.01,2.51,6.163
163,1.05,Very Good,H,SI2,63.0,59.0,6.44,6.48,4.07,8.333
164,1.01,Premium,G,SI2,62.5,60.0,6.34,6.39,3.98,8.354
165,0.7,Premium,D,SI2,61.8,55.0,5.71,5.68,3.52,7.706
166,0.42,Premium,E,VS2,60.9,59.0,4.81,4.85,2.94,6.865
167,0.34,Ideal,H,VVS1,61.1,56.0,4.51,4.56,2.77,6.621
168,1.11,Ideal,E,SI2,61.2,55.0,6.72,6.68,4.1,8.586
169,1.65,Very Good,J,SI1,61.5,58.0,7.49,7.62,4.65,8.98
170,0.81,Very Good,H,VS1,63.6,57.0,5.87,5.9,3.74,8.04
171,0.81,Ideal,G,VVS2,61.7,55.1,5.97,6.04,3.71,8.325
172,1.47,Fair,H,I1,66.7,59.0,6.98,6.94,4.64,8.497
173,2.08,Premium,I,SI2,61.2,58.0,8.24,8.16,5.02,9.637
174,1.55,Ideal,I,VS2,62.6,56.0,7.41,7.35,4.62,9.131
175,0.32,Ideal,E,VVS2,61.3,54.0,4.42,4.45,2.72,6.658
176,0.55,Ideal,E,VS2,62.0,55.0,5.28,5.24,3.26,7.447
177,0.3,Premium,I,SI1,61.6,62.0,4.3,4.27,2.64,6.227
178,1.56,Very Good,J,SI1,59.6,58.0,7.55,7.59,4.51,8.912
179,0.7,Good,E,VS1,61.0,61.0,5.69,5.72,3.48,7.99
180,0.3,Very Good,E,VS2,61.5,58.0,4.28,4.31,2.64,6.461
181,0.33,Premium,G,VS2,60.0,58.0,4.49,4.47,2.69,6.611
182,0.72,Premium,E,SI2,61.7,58.0,5.79,5.74,3.56,7.662
183,0.7,Premium,G,VS1,59.3,62.0,5.8,5.74,3.42,7.822
184,1.04,Very Good,D,VS1,62.3,59.0,6.39,6.48,4.01,9.011
185,0.34,Good,H,VS2,63.2,55.0,4.46,4.5,2.83,6.286
186,1.02,Premium,H,SI1,62.0,60.0,6.37,6.4,3.96,8.476
187,0.31,Good,E,SI1,63.4,57.0,4.31,4.33,2.74,6.299
188,1.12,Ideal,E,SI1,61.6,55.0,6.69,6.66,4.11,8.773
189,1.0,Very Good,H,SI1,61.9,58.0,6.3,6.37,3.92,8.508
190,0.33,Ideal,G,VS1,62.1,56.0,4.4,4.42,2.74,6.501
191,0.55,Premium,G,SI1,62.1,56.0,5.28,5.22,3.26,7.186
192,1.2,Premium,H,VS1,61.3,58.0,6.85,6.81,4.19,8.799
193,1.51,Premium,G,SI1,61.6,59.0,7.32,7.3,4.5,9.282
194,0.54,Very Good,E,VS2,61.2,58.0,5.21,5.28,3.21,7.442
195,0.32,Premium,I,VS1,61.3,58.0,4.39,4.35,2.68,6.474
196,0.33,Premium,G,VS1,61.4,59.0,4.49,4.43,2.74,6.75
197,0.54,Ideal,G,VVS2,62.1,56.0,5.19,5.22,3.23,7.593
198,0.3,Ideal,E,IF,61.7,55.0,4.31,4.34,2.67,6.849
199,0.31,Premium,J,SI1,60.9,60.0,4.38,4.36,2.66,6.142
200,0.41,Good,F,VS1,58.0,61.0,4.86,4.9,2.83,6.792
201,0.72,Ideal,H,SI1,62.2,58.0,5.72,5.76,3.57,7.807
202,0.43,Ideal,H,VVS1,61.5,56.0,4.86,4.89,3.0,7.169
203,0.9,Very Good,F,SI1,61.1,56.0,6.23,6.3,3.83,8.267
204,0.3,Fair,E,VVS2,66.6,54.0,4.14,4.18,2.77,6.373
205,1.01,Premium,G,VS2,62.4,58.0,6.41,6.38,3.99,8.717
206,1.5,Premium,G,SI2,62.1,60.0,7.34,7.28,4.54,8.868
207,0.56,Premium,E,VS2,61.1,57.0,5.38,5.33,3.27,7.53
208,0.33,Ideal,D,SI1,62.4,54.0,4.41,4.44,2.76,6.41
209,0.5,Very Good,D,VS1,63.1,57.0,5.04,5.0,3.17,7.447
210,1.2,Premium,G,VS1,62.9,59.0,6.75,6.69,4.23,8.695
211,0.7,Very Good,I,SI1,62.2,55.0,5.62,5.67,3.51,7.672
212,0.38,Ideal,F,VS1,62.4,54.0,4.68,4.64,2.91,6.906
213,0.43,Ideal,D,SI1,61.5,56.0,4.87,4.82,2.98,6.97
214,0.42,Ideal,D,VVS2,62.1,55.0,4.79,4.81,2.98,7.19
215,0.31,Ideal,E,VS2,61.8,56.0,4.36,4.34,2.69,6.771
216,1.04,Very Good,F,SI2,62.3,58.0,6.44,6.5,4.03,8.338
217,1.26,Ideal,E,SI1,61.5,59.0,6.92,6.96,4.27,9.056
218,0.3,Ideal,D,SI1,62.2,55.0,4.29,4.33,2.68,6.314
219,1.56,Premium,E,VS2,61.5,58.0,7.47,7.43,4.58,9.406
220,0.43,Premium,F,VS2,61.0,57.0,4.87,4.84,2.96,6.875
221,0.5,Good,F,SI1,59.6,61.0,5.12,5.19,3.07,7.102
222,0.27,Very Good,G,VVS1,62.9,55.0,4.13,4.15,2.6,6.339
223,0.78,Very Good,D,VS2,62.2,56.0,5.85,5.91,3.66,8.207
224,0.53,Good,E,VS1,63.2,56.0,5.14,5.18,3.26,7.482
225,1.06,Ideal,G,SI2,62.1,58.0,6.49,6.53,4.04,8.515
226,0.4,Very Good,F,VS1,63.1,59.0,4.68,4.64,2.94,6.844
227,0.59,Ideal,G,SI1,63.4,56.0,5.36,5.29,3.38,7.227
228,1.08,Very Good,E,SI2,63.5,56.0,6.53,6.48,4.13,8.223
229,1.21,Ideal,H,VS2,62.8,55.0,6.79,6.74,4.25,8.68
230,0.4,Premium,D,SI1,61.7,58.0,4.74,4.7,2.91,6.898
231,0.41,Ideal,D,SI2,62.6,57.0,4.77,4.72,2.97,6.735
232,0.32,Ideal,D,SI1,62.7,54.0,4.4,4.37,2.75,6.628
233,0.58,Premium,E,SI1,58.5,55.0,5.52,5.39,3.19,7.249
234,1.1,Very Good,J,SI2,61.8,58.0,6.6,6.63,4.09,8.362
235,0.71,Good,F,VS1,58.0,61.0,5.83,5.85,3.39,7.847
236,0.33,Very Good,F,VS1,59.1,60.0,4.48,4.52,2.66,6.649
237,0.25,Premium,E,VS1,61.5,60.0,4.02,4.04,2.48,6.075
238,0.25,Ideal,E,VS2,62.1,57.0,4.02,4.06,2.5,6.282
239,1.0,Premium,D,SI1,62.5,59.0,6.38,6.32,3.97,8.679
240,0.7,Very Good,F,VS1,62.8,59.0,5.65,5.69,3.56,8.024
241,0.32,Ideal,G,VS2,61.4,56.0,4.39,4.37,2.69,6.579
242,0.51,Ideal,E,VS1,62.7,56.0,5.14,5.1,3.21,7.472
243,1.51,Ideal,H,VS2,62.2,57.0,7.33,7.29,4.55,9.354
244,2.03,Very Good,G,SI1,61.3,59.0,8.08,8.11,4.96,9.812
245,1.02,Ideal,I,SI1,62.0,56.0,6.44,6.46,4.0,8.463
246,1.04,Very Good,G,SI1,61.8,59.0,6.49,6.55,4.03,8.531
247,0.37,Ideal,F,VVS1,61.5,56.0,4.59,4.61,2.83,6.836
248,0.43,Ideal,G,VS1,61.9,55.0,4.84,4.86,3.0,6.849
249,0.3,Ideal,G,VVS2,61.8,57.0,4.31,4.33,2.67,6.745
250,0.5,Good,J,SI1,59.6,60.0,5.15,5.18,3.08,6.866
251,1.56,Premium,G,SI2,61.7,59.0,7.51,7.43,4.61,9.089
252,0.71,Very Good,E,VS1,62.1,57.0,5.67,5.69,3.53,8.009
253,1.25,Ideal,H,SI2,61.6,54.0,6.94,6.88,4.25,8.497
254,0.38,Ideal,H,SI2,61.3,54.0,4.68,4.7,2.87,6.234
255,0.94,Premium,F,SI2,62.2,59.0,6.27,6.23,3.89,8.35
256,0.35,Ideal,F,VS2,61.4,55.0,4.55,4.6,2.81,6.56
257,0.3,Very Good,H,SI1,58.7,63.0,4.37,4.32,2.55,6.223
258,0.41,Ideal,F,VS2,61.8,57.0,4.75,4.79,2.95,6.76
259,0.31,Ideal,G,VVS1,62.0,55.0,4.34,4.37,2.7,6.671
260,0.32,Premium,F,IF,59.3,58.0,4.47,4.44,2.62,6.985
261,0.36,Premium,H,VS2,60.9,59.0,4.62,4.58,2.8,6.592
262,1.54,Good,H,VS1,63.1,57.0,7.34,7.4,4.65,9.284
263,0.41,Premium,E,SI2,62.1,58.0,4.73,4.77,2.95,6.526
264,2.01,Ideal,G,SI2,60.9,55.0,8.16,8.19,4.98,9.776
265,0.66,Very Good,H,VS1,61.6,58.1,5.54,5.58,3.42,7.59
266,1.02,Fair,I,SI2,65.5,57.0,6.19,6.24,4.07,8.243
267,0.52,Ideal,H,VVS1,61.2,57.0,5.17,5.22,3.18,7.501
268,1.01,Good,G,VVS2,62.4,59.0,6.32,6.37,3.96,8.9
269,1.59,Premium,H,SI1,61.0,58.0,7.58,7.51,4.6,9.086
270,0.6,Ideal,G,VVS2,62.0,57.0,5.41,5.46,3.37,7.761
271,0.26,Ideal,E,VS1,61.8,55.0,4.09,4.13,2.54,6.114
272,0.42,Ideal,I,VS1,62.0,55.0,4.83,4.85,3.0,6.65
273,0.8,Very Good,J,SI1,61.6,56.0,5.94,5.98,3.67,7.707
274,2.01,Fair,J,VS1,66.6,54.0,7.76,7.92,5.22,9.575
275,1.76,Very Good,J,SI2,60.9,60.0,7.79,7.83,4.76,9.111
276,1.63,Good,F,SI1,57.7,60.0,7.71,7.79,4.47,9.297
277,1.24,Ideal,J,SI2,60.1,57.0,7.02,6.98,4.21,8.473
278,0.58,Ideal,G,SI2,61.5,55.0,5.38,5.42,3.32,7.151
279,0.74,Ideal,G,SI1,61.3,57.0,5.81,5.83,3.57,8.049
280,0.36,Ideal,H,VS2,61.4,57.0,4.59,4.63,2.83,6.375
281,0.3,Very Good,F,VS2,62.9,57.0,4.29,4.33,2.71,6.405
282,0.71,Very Good,E,SI1,63.1,58.0,5.65,5.69,3.58,7.828
283,1.34,Premium,G,VS2,60.7,59.0,7.07,7.04,4.28,9.137
284,1.01,Premium,E,SI2,61.5,58.0,6.4,6.43,3.95,8.448
285,0.41,Ideal,G,VS2,62.7,56.0,4.76,4.71,2.97,6.967
286,0.9,Very Good,D,SI1,62.8,59.0,6.12,6.18,3.86,8.404
287,0.31,Ideal,G,VVS1,60.8,56.0,4.41,4.43,2.69,6.649
288,0.37,Premium,F,SI2,60.2,60.0,4.7,4.6,2.8,6.436
289,2.01,Ideal,J,SI1,62.3,57.0,8.05,7.99,5.0,9.442
290,0.71,Premium,D,VS2,61.2,59.0,5.74,5.69,3.5,7.946
291,1.52,Fair,H,SI1,64.6,55.0,7.24,7.19,4.66,8.914
292,2.22,Premium,F,SI2,59.2,59.0,8.54,8.46,5.03,9.514
293,0.47,Very Good,F,SI1,61.1,61.0,4.97,5.01,3.05,6.929
294,1.0,Fair,E,SI1,66.3,62.0,6.27,6.06,4.09,8.328
295,2.25,Premium,I,SI2,61.9,59.0,8.42,8.35,5.19,9.316
296,0.55,Ideal,J,SI1,60.9,57.0,5.24,5.3,3.21,7.003
297,0.38,Ideal,G,VVS2,62.3,53.6,4.65,4.67,2.9,6.834
298,1.51,Good,G,VS2,64.2,54.0,7.18,7.27,4.64,9.362
299,1.21,Ideal,I,VS1,60.5,58.0,6.95,6.89,4.19,8.747
300,1.0,Good,E,VVS1,63.4,59.0,6.27,6.24,4.0,9.031
301,0.33,Premium,E,SI1,60.4,59.0,4.47,4.43,2.69,6.611
302,1.39,Premium,G,SI1,61.3,59.0,7.15,7.24,4.41,8.968
303,1.5,Very Good,H,SI2,62.0,63.0,7.28,7.24,4.5,8.894
304,0.53,Ideal,G,VS1,61.5,57.0,5.21,5.23,3.21,7.491
305,0.3,Premium,E,SI1,62.3,58.0,4.32,4.29,2.68,6.515
306,0.3,Premium,I,VVS2,61.0,60.0,4.3,4.36,2.64,6.265
307,0.51,Ideal,E,VS1,61.8,55.0,5.15,31.8,5.12,7.638
308,0.6,Ideal,E,VS2,61.2,56.0,5.45,5.44,3.33,7.691
309,0.5,Premium,H,SI2,61.0,58.0,5.14,5.05,3.11,6.865
310,0.61,Ideal,G,VS1,62.1,56.0,5.42,5.44,3.37,7.681
311,0.46,Ideal,J,VVS1,62.5,56.0,4.93,4.89,3.07,6.926
312,2.01,Good,H,SI1,62.2,58.0,7.99,8.05,4.99,9.725
313,1.07,Ideal,I,SI1,61.5,57.0,6.57,6.59,4.05,8.657
314,1.01,Very Good,H,SI2,63.4,57.0,6.39,6.32,4.03,8.186
315,0.41,Ideal,G,SI2,61.0,57.0,4.82,4.79,2.93,6.729
316,0.45,Premium,E,VS1,60.8,60.0,4.94,4.9,2.99,7.156
317,0.42,Ideal,I,VVS1,62.5,57.0,4.77,4.8,2.99,6.784
318,0.92,Ideal,I,SI1,61.8,57.0,6.27,6.25,3.87,8.109
319,1.01,Good,E,VS2,63.9,59.0,6.34,6.31,4.04,8.849
320,0.23,Very Good,D,VVS2,60.4,59.0,3.95,4.0,2.4,6.273
321,0.54,Ideal,F,VS2,62.8,57.0,5.25,5.2,3.28,7.391
322,0.55,Very Good,E,VVS2,60.4,56.0,5.36,5.38,3.24,7.783
323,0.4,Ideal,E,VVS1,62.4,57.0,4.72,4.67,2.93,7.242
324,0.78,Very Good,H,SI2,63.1,56.0,5.84,5.88,3.7,7.761
325,0.9,Very Good,F,SI2,62.6,56.0,6.13,6.17,3.85,8.122
326,0.52,Very Good,D,VS2,63.5,57.0,5.13,5.08,3.24,7.511
327,0.7,Good,F,VVS2,63.1,58.0,5.6,5.66,3.55,7.909
328,0.9,Good,H,VS1,63.5,59.0,6.1,6.13,3.88,8.368
329,0.9,Good,H,SI1,62.1,61.0,6.07,6.11,3.78,8.145
330,1.51,Good,H,SI1,62.2,61.0,7.25,7.32,4.53,9.089
331,1.0,Good,F,SI1,63.6,58.0,6.31,6.27,4.0,8.505
332,1.08,Ideal,G,VS2,61.8,55.0,6.57,6.63,4.08,8.844
333,1.72,Good,F,SI1,63.2,61.0,7.57,7.62,4.8,9.51
334,0.38,Ideal,F,SI2,60.6,56.0,4.73,4.7,2.86,6.718
335,0.9,Good,F,VS2,63.8,55.0,6.09,6.13,3.9,8.368
336,0.36,Very Good,H,VS2,61.0,55.0,4.62,4.66,2.83,6.368
337,0.91,Ideal,F,SI2,62.0,56.0,6.2,6.22,3.85,8.443
338,0.37,Premium,G,SI1,62.1,60.0,4.61,4.54,2.84,6.562
339,0.9,Premium,F,SI2,61.1,54.0,6.29,6.27,3.84,8.148
340,0.5,Ideal,E,VS2,60.4,56.0,5.15,5.21,3.13,7.545
341,1.51,Ideal,G,VVS2,62.3,55.0,7.35,7.29,4.56,9.599
342,0.32,Ideal,H,VS2,61.2,55.0,4.41,4.45,2.71,6.26
